provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
gemini,gemini-3-flash-preview,low,0.0,27,473,500,5.4,123075,33601,332823,1.16081
gemini,gemini-3-flash-preview,low,0.1,99,401,500,19.8,123075,40378,356790,1.253041
gemini,gemini-3-flash-preview,low,0.2,109,391,500,21.8,123075,40753,364664,1.277788
gemini,gemini-3-flash-preview,low,0.3,107,393,500,21.4,123075,40702,364859,1.278221
gemini,gemini-3-flash-preview,low,0.4,107,393,500,21.4,123075,40581,368816,1.289729
gemini,gemini-3-flash-preview,low,0.5,116,384,500,23.2,123075,39875,380201,1.321765
gemini,gemini-3-flash-preview,low,0.6,119,381,500,23.8,123075,40318,387863,1.34608
gemini,gemini-3-flash-preview,low,0.7,111,389,500,22.2,123075,40159,388099,1.346311
gemini,gemini-3-flash-preview,low,0.8,121,379,500,24.2,123075,40251,385424,1.338562
gemini,gemini-3-flash-preview,low,0.9,128,372,500,25.6,123075,39971,394399,1.364648
gemini,gemini-3-flash-preview,low,1.0,137,363,500,27.4,123075,40338,381263,1.32634
gemini,gemini-3-flash-preview,low,1.1,132,368,500,26.4,123075,40457,391208,1.356532
gemini,gemini-3-flash-preview,low,1.2,127,373,500,25.4,123075,40720,391191,1.357271
gemini,gemini-3-flash-preview,low,1.3,136,364,500,27.2,123075,41050,385051,1.33984
gemini,gemini-3-flash-preview,low,1.4,126,374,500,25.2,123075,40419,396910,1.373525
gemini,gemini-3-flash-preview,low,1.5,145,355,500,29.0,123075,41219,391388,1.359358
gemini,gemini-3-flash-preview,low,1.6,131,369,500,26.2,123075,40682,395338,1.369598
gemini,gemini-3-flash-preview,low,1.7,136,364,500,27.2,123075,40892,391061,1.357397
gemini,gemini-3-flash-preview,low,1.8,140,360,500,28.0,123075,40421,395656,1.369769
gemini,gemini-3-flash-preview,low,1.9,130,370,500,26.0,123075,39833,400917,1.383787
gemini,gemini-3-flash-preview,low,2.0,144,356,500,28.8,123075,40253,390810,1.354727
gemini,gemini-3-flash-preview,low,2.1,137,363,500,27.4,123075,39701,399948,1.380484
gemini,gemini-3-flash-preview,low,2.2,130,370,500,26.0,123075,40043,404178,1.3942
gemini,gemini-3-flash-preview,low,2.3,143,357,500,28.6,123075,40213,390020,1.352237
gemini,gemini-3-flash-preview,low,2.4,142,358,500,28.4,123075,40121,389179,1.349437
gemini,gemini-3-flash-preview,low,2.5,146,354,500,29.2,123075,40925,399920,1.384073
gemini,gemini-3-flash-preview,low,2.6,147,353,500,29.4,123075,40079,402576,1.389503
gemini,gemini-3-flash-preview,low,2.7,142,358,500,28.4,123075,40137,399327,1.379929
gemini,gemini-3-flash-preview,low,2.8,151,349,500,30.2,123075,39403,397461,1.37213
gemini,gemini-3-flash-preview,low,2.9,147,353,500,29.4,123075,39778,400641,1.382795
gemini,gemini-3-flash-preview,low,3.0,154,346,500,30.8,123075,39565,393936,1.362041
gemini,gemini-3-flash-preview,low,3.1,146,354,500,29.2,123075,40200,401182,1.385684
gemini,gemini-3-flash-preview,low,3.2,161,339,500,32.2,123075,40046,395332,1.367672
gemini,gemini-3-flash-preview,low,3.3,161,339,500,32.2,123075,39780,399654,1.379839
gemini,gemini-3-flash-preview,low,3.4,149,351,500,29.8,123075,40000,402531,1.389131
gemini,gemini-3-flash-preview,low,3.5,146,354,500,29.2,123075,39507,400833,1.382558
gemini,gemini-3-flash-preview,low,4.0,153,347,500,30.6,123075,39665,398706,1.37665
gemini,gemini-3-flash-preview,low,5.0,166,334,500,33.2,123075,39594,401397,1.384511
gemini,gemini-3-flash-preview,low,6.0,168,332,500,33.6,123075,39211,397669,1.372177
gemini,gemini-3-flash-preview,low,7.0,173,327,500,34.6,123075,39751,397388,1.372954
